Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Lieutenant Commander,Tactical Systems,Asst Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt SS Titan
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Director SFHQ -,Director SFHQ - Fleet Readiness / Post 3
Lieutenant Commander,Science,Staff Officer R&D - Propulsion Systems,Training Officer -,Training Officer - Advanced Systems College
Commander,Science,Training Officer -,Training Officer -,Training Officer - Advanced Systems College
Captain,Science,Training Officer -,Director R&D - Hull Integrity,Director R&D - Hull Integrity / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Aurora
Commander,Engineering,Head of Deptt,Dy Director R&D - Quantum Computing,Dy Director R&D - Quantum Computing
Captain,Engineering,Dy Director R&D - Quantum Computing,Director SFHQ - Technical Policy,Director SFHQ - Technical Policy / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Resource Management,Dy Director SFHQ - Resource Management
Captain,Engineering,Dy Director SFHQ - Resource Management,General Manager,General Manager Systems Maintenance Group Prime / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Atlantis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Systems Maintenance Group Sigma
Captain,Tactical Systems,Manager,Director SFHQ - Strategic Planning,Director SFHQ - Strategic Planning / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ -,Dy Director SFHQ - Fleet Readiness
Captain,Tactical Systems,Dy Director SFHQ -,Director,Director Starbase Support Command Delta / Post 2
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt RS Nova
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Fleet Technical Training Center
Captain,Tactical Systems,Training Officer -,Director,Director Starbase Support Command Gamma / Post 2
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning
Lieutenant Commander,Engineering,Staff Officer SFHQ - Capability Planning,Head of Deptt,Head of Deptt CS Prometheus
Commander,Engineering,Head of Deptt,Dy Director R&D - Propulsion Systems,Dy Director R&D - Propulsion Systems
Captain,Engineering,Dy Director R&D - Propulsion Systems,Director R&D - Energy Systems,Director R&D - Energy Systems / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan
Commander,Engineering,Head of Deptt,Manager,Manager Starbase Support Command Gamma
Captain,Engineering,Manager,General Manager Planetary Repair Depot One,General Manager Planetary Repair Depot One / Post 2
Lieutenant,Engineering,Div Officer,Staff Officer,Staff Officer Field HQ - Engineering
Lieutenant Commander,Engineering,Staff Officer,Head of Deptt,Head of Deptt ISS Horizon
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Dean -,Dean - Fleet Technical Training Center / Post 3
Lieutenant,Hull Systems,Asst Manager,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Hull Systems,Dy Manager,Training Officer -,Training Officer - Starfleet Hull School
Commander,Hull Systems,Training Officer -,Dy Director R&D - Stealth Systems,Dy Director R&D - Stealth Systems
Captain,Hull Systems,Dy Director R&D - Stealth Systems,Director,Director Fleet Maintenance Wing Alpha / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Pioneer
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Director SFHQ - Resource Management,Director SFHQ - Resource Management / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Meridian
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One
Captain,Engineering,Manager Planetary Repair Depot One,Director SFHQ - Systems Integration,Director SFHQ - Systems Integration / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Intrepid
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Alpha
Captain,Engineering,Manager,General Manager,General Manager Starbase Support Command Delta / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Genesis
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta
Captain,Tactical Systems,Manager Hull Repair Yard Beta,Director,Director Starbase Support Command Gamma / Post 3
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt ISS Nova
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Capability Planning,Dy Director SFHQ - Capability Planning
Captain,Engineering,Dy Director SFHQ - Capability Planning,General Manager,General Manager Fleet Maintenance Wing Alpha / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Atlantis
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,General Manager,General Manager Fleet Maintenance Wing Alpha / Post 3
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Nova
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Warp Technology Institute
Captain,Engineering,Training Officer -,Director SFHQ -,Director SFHQ - Fleet Readiness / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Horizon
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Director SFHQ - Doctrine and Development,Director SFHQ - Doctrine and Development / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Horizon
Commander,Engineering,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta
Captain,Engineering,Manager Hull Repair Yard Beta,Director,Director Starbase Support Command Delta / Post 3
Lieutenant,Engineering,Asst Manager,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Dy Manager,Dy Manager,Dy Manager Fleet Maintenance Wing Beta / Post 3
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Plasma Systems,Staff Officer R&D - Plasma Systems
Commander,Science,Staff Officer R&D - Plasma Systems,Training Officer -,Training Officer - Advanced Systems College
Captain,Science,Training Officer -,Dean -,Dean - Systems Design College / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Horizon
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Director Planetary Repair Depot One,Director Planetary Repair Depot One / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Engineering,Head of Deptt,Dy Director R&D - Nanotech Repair,Dy Director R&D - Nanotech Repair
Captain,Engineering,Dy Director R&D - Nanotech Repair,General Manager Planetary Repair Depot Two,General Manager Planetary Repair Depot Two / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Genesis
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta
Captain,Tactical Systems,Manager Hull Repair Yard Beta,Snr Staff Officer,Snr Staff Officer Field HQ - Tactical Systems / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Nova
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Director R&D - Propulsion Systems,Director R&D - Propulsion Systems / Post 2
Lieutenant,Engineering,Div Officer,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt ISS Genesis
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Alpha
Captain,Engineering,Manager,Director R&D - Energy Systems,Director R&D - Energy Systems / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Dockyard Complex Two
Captain,Tactical Systems,Manager,Director,Director Starbase Support Command Delta / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Horizon
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex Two
Captain,Engineering,Manager,Director,Director Dockyard Complex Two / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Horizon
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Director,Director Dockyard Complex Two / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Gateway
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two
Captain,Engineering,Manager Planetary Repair Depot Two,Director Hull Repair Yard Beta,Director Hull Repair Yard Beta / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Genesis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Dockyard Complex Two
Captain,Tactical Systems,Manager,Director R&D - Stealth Systems,Director R&D - Stealth Systems / Post 3
Lieutenant,Tactical Systems,Div Officer,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Dy Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt ISS Nova
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Director,Director Dockyard Complex Two / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Advanced Systems College
Captain,Tactical Systems,Training Officer -,Director Planetary Repair Depot One,Director Planetary Repair Depot One / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Meridian
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Director,Director Dockyard Complex One / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Invictus
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Capability Planning,Dy Director SFHQ - Capability Planning
Captain,Engineering,Dy Director SFHQ - Capability Planning,Director,Director Dockyard Complex One / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Titan
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Snr Staff Officer,Snr Staff Officer Field HQ - Engineering / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Genesis
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Beta
Captain,Engineering,Manager,Director Planetary Repair Depot One,Director Planetary Repair Depot One / Post 4
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Technical Policy,Staff Officer SFHQ - Technical Policy
Lieutenant Commander,Engineering,Staff Officer SFHQ - Technical Policy,Head of Deptt,Head of Deptt USS Endeavour
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Warp Technology Institute
Captain,Engineering,Training Officer -,Director R&D - Sensors and Communications,Director R&D - Sensors and Communications / Post 2
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Alpha,Head of Deptt,Head of Deptt RS Titan
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Alpha
Captain,Engineering,Manager,Director,Director Fleet Maintenance Wing Beta / Post 2
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Prometheus
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Strategic Planning,Dy Director SFHQ - Strategic Planning
Captain,Engineering,Dy Director SFHQ - Strategic Planning,Director R&D - Energy Systems,Director R&D - Energy Systems / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Meridian
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Sigma
Captain,Engineering,Manager,Snr Staff Officer,Snr Staff Officer Field HQ - Engineering / Post 3
